table_name,field_name,language,translation,record_id,field_value
stops,stop_name,en,AZUSAMI DORI MINAMI,,阿豆佐味通り南
stops,stop_name,ja-Hrkt,あずさみどおりなか,,阿豆佐味通り中
stops,stop_name,en,AZUSAMI DORI NAKA,,阿豆佐味通り中
stops,stop_name,ja-Hrkt,ひがしまつばらきた,,東松原北
stops,stop_name,en,HIGASHI MATSUBARA KITA,,東松原北
stops,stop_name,ja-Hrkt,さくらこうえんにし,,さくら公園西
stops,stop_name,en,SAKURA KOEN NISHI,,さくら公園西
stops,stop_name,ja-Hrkt,ひがしまつばら,,東松原
stops,stop_name,en,HIGASHI MATSUBARA,,東松原
stops,stop_name,ja-Hrkt,にしまつばらひがし,,西松原東
stops,stop_name,en,NISHIMATSUBARA HIGASHI,,西松原東
stops,stop_name,ja-Hrkt,だいよんしょうがっこうきた,,第四小学校北
stops,stop_name,en,DAIYON SHOGAKKO KITA,,第四小学校北
stops,stop_name,ja-Hrkt,みなみだいらにし,,南平西
stops,stop_name,en,MINAMIDAIRA NISHI,,南平西
stops,stop_name,ja-Hrkt,２６ごうとうまえ,,２６号棟前
stops,stop_name,en,26GOTO MAE,,２６号棟前
stops,stop_name,ja-Hrkt,３３ごうとうまえ,,３３号棟前
stops,stop_name,en,33GOTO MAE,,３３号棟前
stops,stop_name,ja-Hrkt,むさしのこうえん,,むさしの公園
stops,stop_name,en,MUSASHINO KOEN,,むさしの公園
stops,stop_name,ja-Hrkt,みなみだいらひばりこうえんひがし,,南平ひばり公園東
stops,stop_name,en,MINAMIDAIRA HIBARI KOEN HIGASHI,,南平ひばり公園東
stops,stop_name,ja-Hrkt,みなみだいらきた,,南平北
stops,stop_name,en,MINAMIDAIRA KITA,,南平北
stops,stop_name,ja-Hrkt,ふれっしゅらんどにしたま,,フレッシュランド西多摩
stops,stop_name,en,FRESHLAND NISHITAMA,,フレッシュランド西多摩
stops,stop_name,ja-Hrkt,みずほよんしょういりぐち,,瑞穂四小入口
stops,stop_name,en,MIZUHO YONSHO IRIGUCHI,,瑞穂四小入口
stops,stop_name,ja-Hrkt,かっそうろした,,滑走路下
stops,stop_name,en,KASSOROSHITA,,滑走路下
stops,stop_name,ja-Hrkt,にしまつばら,,西松原
stops,stop_name,en,NISHIMATSUBARA,,西松原
stops,stop_name,ja-Hrkt,まつばらちゅうおうこうえんひがし,,松原中央公園東
stops,stop_name,en,MATSUBARA CHUO KOEN HIGASHI,,松原中央公園東
stops,stop_name,ja-Hrkt,しももろおかこうえん,,下師岡公園
stops,stop_name,en,SHIMOMOROOKA KOEN,,下師岡公園
stops,stop_name,ja-Hrkt,ながおかよんちょうめ,,長岡四丁目
stops,stop_name,en,NAGAOKA YONCHOME,,長岡四丁目
stops,stop_name,ja-Hrkt,ながおかみなみかいかん,,長岡南会館
stops,stop_name,en,NAGAOKA MINAMI KAIKAN,,長岡南会館
stops,stop_name,ja-Hrkt,しものこうえん,,下野公園
stops,stop_name,en,SHIMONO KOEN,,下野公園
stops,stop_name,ja-Hrkt,まるのいいんにし,,丸野医院西
stops,stop_name,en,MARUNOIIN NISHI,,丸野医院西
stops,stop_name,ja-Hrkt,おりんぴっくひがし,,オリンピック東
stops,stop_name,en,OLYMPIC HIGASHI,,オリンピック東
routes,route_long_name,ja-Hrkt,もとさやまこーす,,瑞穂町コミュニティバス　元狭山コース
routes,route_long_name,en,Motosayama Line,,瑞穂町コミュニティバス　元狭山コース
routes,route_long_name,ja-Hrkt,もとさやま・ながおかこーす,,瑞穂町コミュニティバス　元狭山・長岡コース
routes,route_long_name,en,Motosayama-Nagaoka Line,,瑞穂町コミュニティバス　元狭山・長岡コース
routes,route_long_name,ja-Hrkt,いしはた・とのがやこーす,,瑞穂町コミュニティバス　石畑・殿ケ谷コース
routes,route_long_name,en,Ishihata-Tonogaya Line,,瑞穂町コミュニティバス　石畑・殿ケ谷コース
routes,route_long_name,ja-Hrkt,はこねがさき・ながおかこーす,,瑞穂町コミュニティバス　箱根ケ崎・長岡コース
routes,route_long_name,en,Hakonegasaki-Nagaoka Line,,瑞穂町コミュニティバス　箱根ケ崎・長岡コース
routes,route_long_name,ja-Hrkt,むさしのこーす,,瑞穂町コミュニティバス　武蔵野コース
routes,route_long_name,en,Musashino Line,,瑞穂町コミュニティバス　武蔵野コース
feed_info,feed_publisher_name,ja-Hrkt,みずほまち,,
feed_info,feed_publisher_name,en,Mizuho Town,,
