trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1++holiday+9,8:18:00,8:18:00,3_1,3,,0,0,1
1++holiday+9,8:19:00,8:19:00,4_1,4,,0,0,1
1++holiday+9,8:20:00,8:20:00,5_1,5,,0,0,1
1++holiday+9,8:20:00,8:20:00,6_1,6,,0,0,1
1++holiday+9,8:21:00,8:21:00,7_1,7,,0,0,1
1++holiday+9,8:21:00,8:21:00,8_1,8,,0,0,1
1++holiday+9,8:21:00,8:21:00,9_1,9,,0,0,1
1++holiday+9,8:22:00,8:22:00,10_1,10,,0,0,1
1++holiday+9,8:22:00,8:22:00,11_1,11,,0,0,1
1++holiday+9,8:25:00,8:25:00,1_1,12,,1,0,1
1++holiday+10,8:35:00,8:35:00,1_1,1,,0,1,1
1++holiday+10,8:35:00,8:35:00,2_1,2,,0,0,1
1++holiday+10,8:38:00,8:38:00,3_1,3,,0,0,1
1++holiday+10,8:39:00,8:39:00,4_1,4,,0,0,1
1++holiday+10,8:40:00,8:40:00,5_1,5,,0,0,1
1++holiday+10,8:40:00,8:40:00,6_1,6,,0,0,1
1++holiday+10,8:41:00,8:41:00,7_1,7,,0,0,1
1++holiday+10,8:41:00,8:41:00,8_1,8,,0,0,1
1++holiday+10,8:41:00,8:41:00,9_1,9,,0,0,1
1++holiday+10,8:42:00,8:42:00,10_1,10,,0,0,1
1++holiday+10,8:42:00,8:42:00,11_1,11,,0,0,1
1++holiday+10,8:45:00,8:45:00,1_1,12,,1,0,1
1++all+8,8:55:00,8:55:00,1_1,1,,0,1,1
1++all+8,8:55:00,8:55:00,2_1,2,,0,0,1
1++all+8,8:58:00,8:58:00,3_1,3,,0,0,1
1++all+8,8:59:00,8:59:00,4_1,4,,0,0,1
1++all+8,9:00:00,9:00:00,5_1,5,,0,0,1
1++all+8,9:00:00,9:00:00,6_1,6,,0,0,1
1++all+8,9:01:00,9:01:00,7_1,7,,0,0,1
1++all+8,9:01:00,9:01:00,8_1,8,,0,0,1
1++all+8,9:01:00,9:01:00,9_1,9,,0,0,1
1++all+8,9:02:00,9:02:00,10_1,10,,0,0,1
1++all+8,9:02:00,9:02:00,11_1,11,,0,0,1
1++all+8,9:05:00,9:05:00,1_1,12,,1,0,1
1++all+11,9:15:00,9:15:00,1_1,1,,0,1,1
1++all+11,9:15:00,9:15:00,2_1,2,,0,0,1
1++all+11,9:18:00,9:18:00,3_1,3,,0,0,1
1++all+11,9:19:00,9:19:00,4_1,4,,0,0,1
