shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP0001,35.7621770559501,139.823305364784,1
SHP0001,35.7620820539559,139.822998046875,2
SHP0001,35.7619906392496,139.822703003883,3
SHP0001,35.7619384022745,139.822418689728,4
SHP0001,35.7618839887588,139.821941256523,5
SHP0001,35.7618130476635,139.821236577365,6
SHP0001,35.7618130476635,139.821236577365,7
SHP0001,35.7618121629182,139.821227788925,8
SHP0001,35.7617686321056,139.82110440731,9
SHP0001,35.7616467458305,139.821099042892,10
SHP0001,35.7615226830148,139.821136593819,11
SHP0001,35.761527036096,139.821061491966,12
SHP0001,35.7615161533929,139.820871055126,13
SHP0001,35.7614465040928,139.820573329926,14
SHP0001,35.7614182090647,139.82028901577,15
SHP0001,35.7613180881959,139.820264875889,16
SHP0001,35.7610503736988,139.820224642754,17
SHP0001,35.7610481971581,139.819943010807,18
SHP0001,35.7610764921863,139.819647967815,19
SHP0001,35.7611504945676,139.819575548172,20
SHP0001,35.7612506154364,139.8195540905,21
SHP0001,35.7615770965305,139.819621145725,22
SHP0001,35.7616576285336,139.819656014442,23
SHP0001,35.7616467458305,139.819419980049,24
SHP0001,35.7615923323148,139.819339513779,25
SHP0001,35.7615205064742,139.819315373898,26
SHP0001,35.7614595633366,139.819347560406,27
SHP0001,35.7614095029022,139.819425344467,28
SHP0001,35.7613355005209,139.819462895393,29
SHP0001,35.7612527919771,139.819446802139,30
SHP0001,35.7612049080833,139.819425344467,31
SHP0001,35.7609916071018,139.818564355373,32
SHP0001,35.7607608937954,139.817754328251,33
SHP0001,35.7606629494672,139.817416369915,34
SHP0001,35.7604561781076,139.816665351391,35
SHP0001,35.7604431188639,139.816611707211,36
SHP0001,35.7602668190731,139.815973341465,37
SHP0001,35.7602276413418,139.815852642059,38
SHP0001,35.7602124055574,139.815809726715,39
SHP0001,35.7600926958229,139.81541544199,40
SHP0001,35.7599011602478,139.814779758453,41
SHP0001,35.7598576294353,139.814637601376,42
SHP0001,35.7597292135383,139.814235270023,43
SHP0001,35.7596530346163,139.81399923563,44
SHP0001,35.7595507372069,139.813680052757,45
SHP0001,35.7594484397974,139.813352823257,46
SHP0001,35.7593417893067,139.813296496868,47
SHP0001,35.7592394918972,139.813242852688,48
SHP0001,35.7584646434341,139.813435971737,49
SHP0001,35.7583340509965,139.8134547472,50
SHP0001,35.7582496805402,139.81346617269,51
SHP0001,35.7582496805402,139.81346617269,52
SHP0001,35.7581359857994,139.81348156929,53
SHP0001,35.7576919715115,139.813382327557,54
SHP0001,35.7574808470707,139.813328683376,55
SHP0001,35.7573872558238,139.813304543495,56
SHP0001,35.75733937193,139.813358187675,57
SHP0001,35.7572501337643,139.813457429409,58
SHP0001,35.7571369536517,139.813588857651,59
SHP0001,35.7569127699671,139.813878536224,60
SHP0001,35.7567778244483,139.814036786556,61
SHP0001,35.7568039429358,139.814726114273,62
SHP0001,35.7568039429358,139.814884364605,63
SHP0001,35.7568085099875,139.815124496849,64
SHP0001,35.7568085099875,139.815124496849,65
SHP0001,35.7568104725577,139.815227687359,66
SHP0001,35.756808296017,139.815608561039,67
SHP0001,35.7568104725577,139.815839231014,68
SHP0001,35.7568126490983,139.816008210182,69
SHP0001,35.7568148256389,139.81615036726,70
SHP0001,35.7568170021796,139.816187918186,71
SHP0001,35.7568170021796,139.816496372223,72
SHP0001,35.7565694103289,139.816559608292,73
SHP0001,35.7565694103289,139.816559608292,74
SHP0001,35.7563969298386,139.816603660583,75
SHP0001,35.756190158479,139.816665351391,76
SHP0001,35.7561292153415,139.816684126854,77
SHP0001,35.7558593243037,139.816761910915,78
SHP0001,35.7556503764036,139.816818237305,79
SHP0001,35.7556503764036,139.816818237305,80
SHP0001,35.7554283692596,139.816877245903,81
SHP0001,35.755223751516,139.816933572292,82
SHP0001,35.7546991464497,139.81707572937,83
SHP0001,35.7547230910793,139.817247390747,84
SHP0001,35.7547470357089,139.817419052124,85
SHP0001,35.7548039475716,139.817815765758,86
SHP0001,35.7548039475716,139.817815765758,87
SHP0001,35.7548232231666,139.817950129509,88
